time(s),beats,metaphoric,deictic,iconic,gesture
1,1,0,0,0,1
6,1,0,0,0,1
8,1,0,0,0,1
10,1,0,0,0,1
14,1,1,0,0,1
17,0,0,0,0,0
20,1,0,1,0,1
24,1,0,1,0,1
28,1,0,0,0,1
31,1,1,0,0,1
36,1,0,0,0,1
38,1,0,1,0,1
42,1,0,0,0,1
44,1,0,0,0,1
46,1,0,0,0,1
49,1,1,0,0,1
53,1,1,0,0,1
56,1,0,0,0,1
59,1,0,0,0,1
62,1,1,1,0,1
69,1,0,0,0,1
73,1,0,0,0,1
75,1,0,0,0,1
79,1,0,0,0,1
83,0,0,0,0,0
84,1,1,0,0,1
86,1,1,1,0,1
92,0,0,0,0,0
93,1,0,1,0,1
99,1,0,1,0,1
105,1,1,0,0,1
109,1,1,0,0,1
113,1,0,0,0,1
117,1,0,1,0,1
123,1,0,1,0,1
128,0,1,0,0,1
131,1,0,0,0,1
136,1,1,0,0,1
139,1,0,0,0,1
142,1,0,1,0,1
150,0,0,0,0,0
151,1,0,0,0,1
155,1,0,0,0,1
158,0,0,1,1,1
162,1,0,0,0,1
170,1,0,0,0,1
173,0,0,0,0,0
175,1,1,0,0,1
181,0,1,0,0,1
185,1,0,1,0,1
189,1,0,0,1,1
193,1,0,1,0,1
198,1,0,0,0,1
199,1,0,0,0,1
202,1,0,0,0,1
204,1,1,0,0,1
208,0,0,1,0,1
211,1,0,0,0,1
213,1,0,0,0,1
217,1,0,1,0,1
221,0,0,1,0,1
225,1,1,0,1,1
229,1,0,1,0,1
233,1,1,0,0,1
238,1,0,0,0,1
242,1,1,0,0,1
247,1,0,0,0,1
248,1,1,0,0,1
253,1,0,1,0,1
259,1,0,0,0,1
263,0,0,0,0,0
265,1,0,1,0,1
271,0,0,0,0,0
272,1,0,1,0,1
276,0,1,0,0,1
280,1,0,0,1,1
286,0,0,0,0,0
287,1,0,0,0,1
290,1,0,0,0,1
294,1,0,0,0,1
296,1,1,0,0,1
,,,,,73
