time(s),beats,metaphoric,deictic,iconic,gesture
0,1,0,0,0,1
1,0,0,0,0,0
4,1,0,0,0,1
7,1,0,0,0,1
9,1,0,0,0,1
11,1,0,0,0,1
13,1,0,0,0,1
16,0,0,0,0,0
18,0,1,0,0,1
20,1,0,0,0,1
23,1,0,0,0,1
26,1,0,1,0,1
30,1,1,0,0,1
33,1,1,0,0,1
35,1,0,0,0,1
37,0,0,1,0,1
41,1,0,0,0,1
43,1,0,0,0,1
45,1,0,0,0,1
47,0,0,0,0,0
49,1,0,0,0,1
51,0,1,0,0,1
53,0,0,0,0,0
55,1,0,0,0,1
58,1,0,0,0,1
60,0,0,0,0,0
62,1,0,0,0,1
65,0,0,1,0,1
68,1,0,0,0,1
70,1,0,0,0,1
73,1,0,1,0,1
76,1,0,0,0,1
78,0,0,0,0,0
81,1,0,0,1,1
83,0,0,0,0,0
85,1,0,0,0,1
87,0,1,0,0,1
90,0,0,0,0,0
92,0,0,0,1,1
94,0,0,0,1,1
97,0,0,0,1,1
100,0,1,0,1,1
103,1,0,0,0,1
106,1,0,0,0,1
108,1,0,1,0,1
111,1,0,0,0,1
113,0,0,0,0,0
115,1,0,1,0,1
118,0,1,0,0,1
121,0,1,0,0,1
124,1,1,0,0,1
126,1,1,0,0,1
129,0,1,0,0,1
132,0,0,1,0,1
135,0,1,0,0,1
137,0,0,1,0,1
139,0,1,0,0,1
142,0,1,0,0,1
144,0,1,0,0,1
148,1,0,1,0,1
151,0,0,0,0,0
153,0,0,0,0,0
155,0,1,0,0,1
157,0,1,0,0,1
159,0,1,0,0,1
162,0,0,0,0,0
165,0,0,0,0,0
169,1,0,0,0,1
171,1,0,0,0,1
174,1,0,0,0,1
177,0,0,0,1,1
178,0,0,0,0,0
180,1,0,0,0,1
182,1,0,0,0,1
185,1,0,0,0,1
187,0,0,1,0,1
190,0,1,0,0,1
192,0,0,0,0,0
194,0,0,1,0,1
196,0,0,1,0,1
198,0,0,1,0,1
201,1,0,0,1,1
204,1,1,0,0,1
206,0,0,0,0,0
208,0,0,0,0,0
210,0,0,1,0,1
212,0,0,0,0,0
213,1,0,0,0,1
216,1,0,0,0,1
220,1,0,0,0,1
223,1,0,0,0,1
227,1,0,1,0,1
229,1,0,0,0,1
231,1,0,0,0,1
233,1,0,0,0,1
236,1,0,0,0,1
239,0,0,1,0,1
242,1,0,0,0,1
244,0,1,0,0,1
245,1,1,0,0,1
248,0,1,0,0,1
250,0,0,0,0,0
252,1,0,0,0,1
254,0,1,0,0,1
256,1,0,0,0,1
260,1,1,0,0,1
262,0,1,0,0,1
264,1,0,0,0,1
267,1,1,0,0,1
270,1,0,0,0,1
272,0,0,0,0,0
274,1,0,0,0,1
277,0,0,0,0,0
279,0,0,0,0,0
281,1,0,0,0,1
284,0,0,0,0,0
287,1,0,0,0,1
289,0,0,1,0,1
291,1,1,0,0,1
294,0,0,0,0,0
,,,,,96
